,CDID,ADDRESS,COUNTRY,ADDRESS1,ADDRESS2,ADDRESS3,CITY,STATEPROVINCE,POSTALCODE,COUNTRY.1,Scenario,Use Case,Raw Data
11,710597146,"12TH FLOOR,2200 POWELL STREET EMERYVILLE CA 94608-0000",US,12TH FLOOR,2200 POWELL STREET,,EMERYVILLE,CA,94608-0000,US,Special character ,Swapping the order of dataset  - City,"12TH FLOOR,2200 POWELL STREET EMERYVILLE CA 94608-0000"
12,710603378,"2nd Floor,919 East Hillsdale Blvd Foster City CA 94404",US,2nd Floor,919 East Hillsdale Blvd,,Foster City,CA,94404,US,Special character ,Swapping the order of dataset  - City,"2nd Floor,919 East Hillsdale Blvd Foster City CA 94404"
13,400157119,"10th Floor,1875 South Grant Street San Mateo CA 94402",US,10th Floor,1875 South Grant Street,,San Mateo,CA,94402,US,Special character ,Swapping the order of dataset  - City,"10th Floor,1875 South Grant Street San Mateo CA 94402"
14,100009019,"Building A, 3rd Floor,4460 Hacienda Drive Pleasanton CA 94588",US,"Building A, 3rd Floor",4460 Hacienda Drive,,Pleasanton,CA,94588,US,Special character ,Swapping the order of dataset  - City,"Building A, 3rd Floor,4460 Hacienda Drive Pleasanton CA 94588"
15,710492266,"10th Floor,3699 Wilshire Blvd Los Angeles CA 90010",US,10th Floor,3699 Wilshire Blvd,,Los Angeles,CA,90010,US,Special character ,Swapping the order of dataset  - City,"10th Floor,3699 Wilshire Blvd Los Angeles CA 90010"
16,400100293,"Suite 200,10758 West Centennial Road Littleton CO 80127",US,Suite 200,10758 West Centennial Road,,Littleton,CO,80127,US,Special character ,Swapping the order of dataset  - City,"Suite 200,10758 West Centennial Road Littleton CO 80127"
17,710600176,"SUITE 2100,1675 BROADWAY DENVER CO 81637-0000",US,SUITE 2100,1675 BROADWAY,,DENVER,CO,81637-0000,US,Special character ,Swapping the order of dataset  - City,"SUITE 2100,1675 BROADWAY DENVER CO 81637-0000"
18,400097416,"Suite 250,1625 Broadway Denver CO 80202",US,Suite 250,1625 Broadway,,Denver,CO,80202,US,Special character ,Swapping the order of dataset  - City,"Suite 250,1625 Broadway Denver CO 80202"
19,710445010,"6th Floor,7190 Colorado Blvd. Commerce City CO 80022",US,6th Floor,7190 Colorado Blvd.,,Commerce City,CO,80022,US,Special character ,Swapping the order of dataset  - City,"6th Floor,7190 Colorado Blvd. Commerce City CO 80022"
20,712455434,"3rd Floor,1550 Wynkoop Street Denver CO 80202",US,3rd Floor,1550 Wynkoop Street,,Denver,CO,80202,US,Special character ,Swapping the order of dataset  - City,"3rd Floor,1550 Wynkoop Street Denver CO 80202"
21,400173517,"Suite 301,2150 Post Road Fairfield CT 06824",US,Suite 301,2150 Post Road,,Fairfield,CT,06824,US,Special character ,Swapping the order of dataset  - City,"Suite 301,2150 Post Road Fairfield CT 06824"
22,715948255,"1st Floor,53 Forest Avenue Old Greenwich CT 06870",US,1st Floor,53 Forest Avenue,,Old Greenwich,CT,06870,US,Special character ,Swapping the order of dataset  - City,"1st Floor,53 Forest Avenue Old Greenwich CT 06870"
23,710587628,"2nd Floor,5 Greenwich Office Park Greenwich CT 06831",US,2nd Floor,5 Greenwich Office Park,,Greenwich,CT,06831,US,Special character ,Swapping the order of dataset  - City,"2nd Floor,5 Greenwich Office Park Greenwich CT 06831"
24,710767098,"Building B, 3rd Floor,777 Long Ridge Road Stamford CT 06902",US,"Building B, 3rd Floor",777 Long Ridge Road,,Stamford,CT,06902,US,Special character ,Swapping the order of dataset  - City,"Building B, 3rd Floor,777 Long Ridge Road Stamford CT 06902"
25,400173746,"5th Floor,84 West Park Place Stamford CT 06901",US,5th Floor,84 West Park Place,,Stamford,CT,06901,US,Special character ,Swapping the order of dataset  - City,"5th Floor,84 West Park Place Stamford CT 06901"
26,400170453,"Suite 400,2711 Centerville Road Wilimington DE 19808",US,Suite 400,2711 Centerville Road,,Wilimington,DE,19808,US,Special character ,Swapping the order of dataset  - City,"Suite 400,2711 Centerville Road Wilimington DE 19808"
27,715958386,"Suite 410W,2300 Glades Road Boca Raton FL 33431",US,Suite 410W,2300 Glades Road,,Boca Raton,FL,33431,US,Special character ,Swapping the order of dataset  - City,"Suite 410W,2300 Glades Road Boca Raton FL 33431"
28,713660646,"Suite 108,3293 Fruitville Road Sarasota FL 34237",US,Suite 108,3293 Fruitville Road,,Sarasota,FL,34237,US,Special character ,Swapping the order of dataset  - City,"Suite 108,3293 Fruitville Road Sarasota FL 34237"
29,716405078,"Suite 150 - Mezzanine,2151 Lejeune Road Coral Gables FL 33134",US,Suite 150 - Mezzanine,2151 Lejeune Road,,Coral Gables,FL,33134,US,Special character ,Swapping the order of dataset  - City,"Suite 150 - Mezzanine,2151 Lejeune Road Coral Gables FL 33134"
30,710629082,"Suite 100,5844 Old Pasco Road Wesley Chapel FL 33544",US,Suite 100,5844 Old Pasco Road,,Wesley Chapel,FL,33544,US,Special character ,Swapping the order of dataset  - City,"Suite 100,5844 Old Pasco Road Wesley Chapel FL 33544"
31,712776834,"Suite 104,2281 Lee Road Winter Park FL 32789",US,Suite 104,2281 Lee Road,,Winter Park,FL,32789,US,Special character ,Swapping the order of dataset  - City,"Suite 104,2281 Lee Road Winter Park FL 32789"
32,710694347,"Suite A,2501 Burns Road Palm Bch Gardens FL 33410",US,Suite A,2501 Burns Road,,Palm Bch Gardens,FL,33410,US,Special character ,Swapping the order of dataset  - City,"Suite A,2501 Burns Road Palm Bch Gardens FL 33410"
33,110022205,"Suite 533,4651 Salisbury Road Jacksonville FL 32256",US,Suite 533,4651 Salisbury Road,,Jacksonville,FL,32256,US,Special character ,Swapping the order of dataset  - City,"Suite 533,4651 Salisbury Road Jacksonville FL 32256"
34,710601802,"Suite 206,9530 Marketplace Road Fort Myers FL 33912",US,Suite 206,9530 Marketplace Road,,Fort Myers,FL,33912,US,Special character ,Swapping the order of dataset  - City,"Suite 206,9530 Marketplace Road Fort Myers FL 33912"
35,710439108,"6th Floor,1549 Ringling Blvd Sarasota FL 34236",US,6th Floor,1549 Ringling Blvd,,Sarasota,FL,34236,US,Special character ,Swapping the order of dataset  - City,"6th Floor,1549 Ringling Blvd Sarasota FL 34236"
36,711267456,"1st Floor,4730 State Road 64 East Bradenton FL 34208",US,1st Floor,4730 State Road 64 East,,Bradenton,FL,34208,US,Special character ,Swapping the order of dataset  - City,"1st Floor,4730 State Road 64 East Bradenton FL 34208"
37,711269520,"4th Floor,700 Northwest 107th Avenue Miami FL 33172",US,4th Floor,700 Northwest 107th Avenue,,Miami,FL,33172,US,Special character ,Swapping the order of dataset  - City,"4th Floor,700 Northwest 107th Avenue Miami FL 33172"
38,710597459,"4TH FLOOR,400 S ORANGE AVENUE ORLANDO FL 32801",US,4TH FLOOR,400 S ORANGE AVENUE,,ORLANDO,FL,32801,US,Special character ,Swapping the order of dataset  - City,"4TH FLOOR,400 S ORANGE AVENUE ORLANDO FL 32801"
39,710616406,"5th Floor,2202 North West Shore Blvd Tampa FL 33607",US,5th Floor,2202 North West Shore Blvd,,Tampa,FL,33607,US,Special character ,Swapping the order of dataset  - City,"5th Floor,2202 North West Shore Blvd Tampa FL 33607"
40,710597629,"2nd Floor,415 East Monroe Street Jacksonville FL 32202",US,2nd Floor,415 East Monroe Street,,Jacksonville,FL,32202,US,Special character ,Swapping the order of dataset  - City,"2nd Floor,415 East Monroe Street Jacksonville FL 32202"
41,710026530,"3rd Floor,25 West Flagler Street Miami FL 33130",US,3rd Floor,25 West Flagler Street,,Miami,FL,33130,US,Special character ,Swapping the order of dataset  - City,"3rd Floor,25 West Flagler Street Miami FL 33130"
42,410023032,"Suite 1800,3438 Peachtree Road Northeast Atlanta GA 30326",US,Suite 1800,3438 Peachtree Road Northeast,,Atlanta,GA,30326,US,Special character ,Swapping the order of dataset  - City,"Suite 1800,3438 Peachtree Road Northeast Atlanta GA 30326"
43,400174907,"Building 3, Suite 700,3565 Piedmont Road Northeast Atlanta GA 30305",US,"Building 3, Suite 700",3565 Piedmont Road Northeast,,Atlanta,GA,30305,US,Special character ,Swapping the order of dataset  - City,"Building 3, Suite 700,3565 Piedmont Road Northeast Atlanta GA 30305"
44,400157631,"Suite 260,1000 Abernathy Road Atlanta GA 30328",US,Suite 260,1000 Abernathy Road,,Atlanta,GA,30328,US,Special character ,Swapping the order of dataset  - City,"Suite 260,1000 Abernathy Road Atlanta GA 30328"
45,710490491,"Suite 444,2030 Powers Ferry Road Atlanta GA 30339",US,Suite 444,2030 Powers Ferry Road,,Atlanta,GA,30339,US,Special character ,Swapping the order of dataset  - City,"Suite 444,2030 Powers Ferry Road Atlanta GA 30339"
46,700086253,"Terminus 100, Suite 500,3280 Peachtree Road, Northeast Atlanta GA 30305",US,"Terminus 100, Suite 500","3280 Peachtree Road, Northeast",,Atlanta,GA,30305,US,Special character ,Swapping the order of dataset  - City,"Terminus 100, Suite 500,3280 Peachtree Road, Northeast Atlanta GA 30305"
47,400168872,"Suite 1200,1200 Abernathy Road Northeast Atlanta GA 30328",US,Suite 1200,1200 Abernathy Road Northeast,,Atlanta,GA,30328,US,Special character ,Swapping the order of dataset  - City,"Suite 1200,1200 Abernathy Road Northeast Atlanta GA 30328"
48,710440052,"11th Floor,1100 Peachtree Street Northeas Atlanta GA 30309",US,11th Floor,1100 Peachtree Street Northeas,,Atlanta,GA,30309,US,Special character ,Swapping the order of dataset  - City,"11th Floor,1100 Peachtree Street Northeas Atlanta GA 30309"
49,710520185,"20th Floor,130 Merchant Street Honolulu HI 96813",US,20th Floor,130 Merchant Street,,Honolulu,HI,96813,US,Special character ,Swapping the order of dataset  - City,"20th Floor,130 Merchant Street Honolulu HI 96813"
50,710445118,"Suite 100,1300 Basswood Road Schaumburg IL 60173",US,Suite 100,1300 Basswood Road,,Schaumburg,IL,60173,US,Special character ,Swapping the order of dataset  - City,"Suite 100,1300 Basswood Road Schaumburg IL 60173"
51,716400646,"Suite 210,707 Lake Cook Road Deerfield IL 60015",US,Suite 210,707 Lake Cook Road,,Deerfield,IL,60015,US,Special character ,Swapping the order of dataset  - City,"Suite 210,707 Lake Cook Road Deerfield IL 60015"
52,710586770,"Suite 2,1011 Warrenville Road Lisle IL 60532",US,Suite 2,1011 Warrenville Road,,Lisle,IL,60532,US,Special character ,Swapping the order of dataset  - City,"Suite 2,1011 Warrenville Road Lisle IL 60532"
53,710609910,"Suite 550,520 Lake Cook Road Deerfield IL 60015",US,Suite 550,520 Lake Cook Road,,Deerfield,IL,60015,US,Special character ,Swapping the order of dataset  - City,"Suite 550,520 Lake Cook Road Deerfield IL 60015"
54,400173907,"Suite 1000,425 North Martingale Road Schaumburg IL 60173",US,Suite 1000,425 North Martingale Road,,Schaumburg,IL,60173,US,Special character ,Swapping the order of dataset  - City,"Suite 1000,425 North Martingale Road Schaumburg IL 60173"
55,711397508,"Suite 300,520 Lake Cook Road Deerfield IL 60015",US,Suite 300,520 Lake Cook Road,,Deerfield,IL,60015,US,Special character ,Swapping the order of dataset  - City,"Suite 300,520 Lake Cook Road Deerfield IL 60015"
56,400170458,"Suite 700,3500 Lacey Road Downers Grove IL 60515",US,Suite 700,3500 Lacey Road,,Downers Grove,IL,60515,US,Special character ,Swapping the order of dataset  - City,"Suite 700,3500 Lacey Road Downers Grove IL 60515"
57,715978524,"46th Floor,155 North Wacker Drive Chicago IL 60606",US,46th Floor,155 North Wacker Drive,,Chicago,IL,60606,US,Special character ,Swapping the order of dataset  - City,"46th Floor,155 North Wacker Drive Chicago IL 60606"
58,710744097,"2nd Floor,1200 Wilmette Avenue Wilmette IL 60091",US,2nd Floor,1200 Wilmette Avenue,,Wilmette,IL,60091,US,Special character ,Swapping the order of dataset  - City,"2nd Floor,1200 Wilmette Avenue Wilmette IL 60091"
59,710614944,"Suite 300,8909 Purdue Road Indianapolis IN 46268",US,Suite 300,8909 Purdue Road,,Indianapolis,IN,46268,US,Special character ,Swapping the order of dataset  - City,"Suite 300,8909 Purdue Road Indianapolis IN 46268"
60,710597632,"Suite 410,910 Pierremont Road Shreveport LA 71106",US,Suite 410,910 Pierremont Road,,Shreveport,LA,71106,US,Special character ,Swapping the order of dataset  - City,"Suite 410,910 Pierremont Road Shreveport LA 71106"
61,710578844,"Suite 360,20 University Road Cambridge MA 02138",US,Suite 360,20 University Road,,Cambridge,MA,02138,US,Special character ,Swapping the order of dataset  - City,"Suite 360,20 University Road Cambridge MA 02138"
62,715968111,"Suite 307,25 Burlington Mall Road Burlington MA 01803",US,Suite 307,25 Burlington Mall Road,,Burlington,MA,01803,US,Special character ,Swapping the order of dataset  - City,"Suite 307,25 Burlington Mall Road Burlington MA 01803"
63,710442882,"5th Floor,290 Congress Street Boston MA 02210",US,5th Floor,290 Congress Street,,Boston,MA,02210,US,Special character ,Swapping the order of dataset  - City,"5th Floor,290 Congress Street Boston MA 02210"
64,710614761,"8th Floor,53 State Street Boston MA 02109",US,8th Floor,53 State Street,,Boston,MA,02109,US,Special character ,Swapping the order of dataset  - City,"8th Floor,53 State Street Boston MA 02109"
65,400068365,"6th floor,160 Federal Street Boston MA 02110",US,6th floor,160 Federal Street,,Boston,MA,02110,US,Special character ,Swapping the order of dataset  - City,"6th floor,160 Federal Street Boston MA 02110"
66,710499335,"20th Floor,1 Post Office Square Boston MA 02109",US,20th Floor,1 Post Office Square,,Boston,MA,02109,US,Special character ,Swapping the order of dataset  - City,"20th Floor,1 Post Office Square Boston MA 02109"
67,710291281,"5th Floor,176 Federal Street Boston MA 02110",US,5th Floor,176 Federal Street,,Boston,MA,02110,US,Special character ,Swapping the order of dataset  - City,"5th Floor,176 Federal Street Boston MA 02110"
68,400163788,"Suite 220N,910 Clopper Road Gaithersburg MD 20878",US,Suite 220N,910 Clopper Road,,Gaithersburg,MD,20878,US,Special character ,Swapping the order of dataset  - City,"Suite 220N,910 Clopper Road Gaithersburg MD 20878"
69,110015633,"Suite 501,2099 Gaither Road Rockville MD 20850",US,Suite 501,2099 Gaither Road,,Rockville,MD,20850,US,Special character ,Swapping the order of dataset  - City,"Suite 501,2099 Gaither Road Rockville MD 20850"
70,400172080,"14th Floor,1010 Wayne Avenue Silver Spring MD 20910",US,14th Floor,1010 Wayne Avenue,,Silver Spring,MD,20910,US,Special character ,Swapping the order of dataset  - City,"14th Floor,1010 Wayne Avenue Silver Spring MD 20910"
71,400156133,"14th Floor,2 Bethesda Metro Center Bethesda MD 20814",US,14th Floor,2 Bethesda Metro Center,,Bethesda,MD,20814,US,Special character ,Swapping the order of dataset  - City,"14th Floor,2 Bethesda Metro Center Bethesda MD 20814"
72,110019892,"Suite F7,27300 Haggerty Road Farmington Hills MI 48331",US,Suite F7,27300 Haggerty Road,,Farmington Hills,MI,48331,US,Special character ,Swapping the order of dataset  - City,"Suite F7,27300 Haggerty Road Farmington Hills MI 48331"
73,710591408,"Suite 330,600 South Adams Road Birmingham MI 48009",US,Suite 330,600 South Adams Road,,Birmingham,MI,48009,US,Special character ,Swapping the order of dataset  - City,"Suite 330,600 South Adams Road Birmingham MI 48009"
74,700105959,"Suite 301,3000 West County Road 42 Burnsville MN 55337",US,Suite 301,3000 West County Road 42,,Burnsville,MN,55337,US,Special character ,Swapping the order of dataset  - City,"Suite 301,3000 West County Road 42 Burnsville MN 55337"
75,710618000,"Suite 201,30 West Pershing Road Kansas City MO 64108",US,Suite 201,30 West Pershing Road,,Kansas City,MO,64108,US,Special character ,Swapping the order of dataset  - City,"Suite 201,30 West Pershing Road Kansas City MO 64108"
76,710497547,"Suite 400,7930 Clayton Road Saint Louis MO 63117",US,Suite 400,7930 Clayton Road,,Saint Louis,MO,63117,US,Special character ,Swapping the order of dataset  - City,"Suite 400,7930 Clayton Road Saint Louis MO 63117"
77,710442815,"17th Floor,100 North Broadway Saint Louis MO 63102",US,17th Floor,100 North Broadway,,Saint Louis,MO,63102,US,Special character ,Swapping the order of dataset  - City,"17th Floor,100 North Broadway Saint Louis MO 63102"
78,710604765,"FLOOR 1,100 EAST NEWTON STREET VERSAILLES MO 65084-1298",US,FLOOR 1,100 EAST NEWTON STREET,,VERSAILLES,MO,65084-1298,US,Special character ,Swapping the order of dataset  - City,"FLOOR 1,100 EAST NEWTON STREET VERSAILLES MO 65084-1298"
79,710441506,"Suite 410,706 Green Valley Road Greensboro NC 27408",US,Suite 410,706 Green Valley Road,,Greensboro,NC,27408,US,Special character ,Swapping the order of dataset  - City,"Suite 410,706 Green Valley Road Greensboro NC 27408"
80,710581478,"Suite 250,1414 Raleigh Road Chapel Hill NC 27517",US,Suite 250,1414 Raleigh Road,,Chapel Hill,NC,27517,US,Special character ,Swapping the order of dataset  - City,"Suite 250,1414 Raleigh Road Chapel Hill NC 27517"
81,400178077,"Suite 100,98 Spit Brook Road Nashua NH 03062",US,Suite 100,98 Spit Brook Road,,Nashua,NH,03062,US,Special character ,Swapping the order of dataset  - City,"Suite 100,98 Spit Brook Road Nashua NH 03062"
82,710616413,"Suite 1,800 Kinderkamack Road Oradell NJ 07649",US,Suite 1,800 Kinderkamack Road,,Oradell,NJ,07649,US,Special character ,Swapping the order of dataset  - City,"Suite 1,800 Kinderkamack Road Oradell NJ 07649"
83,400157772,"Suite F,3 Harding Road Red Bank NJ 07701",US,Suite F,3 Harding Road,,Red Bank,NJ,07701,US,Special character ,Swapping the order of dataset  - City,"Suite F,3 Harding Road Red Bank NJ 07701"
84,711056651,"Suite 210,30B Vreeland Road Florham Park NJ 07932",US,Suite 210,30B Vreeland Road,,Florham Park,NJ,07932,US,Special character ,Swapping the order of dataset  - City,"Suite 210,30B Vreeland Road Florham Park NJ 07932"
85,715933881,"11th Floor,1 Evertrust Plaza Jersey City NJ 07302",US,11th Floor,1 Evertrust Plaza,,Jersey City,NJ,07302,US,Special character ,Swapping the order of dataset  - City,"11th Floor,1 Evertrust Plaza Jersey City NJ 07302"
86,400173041,"3rd Floor,400 Crossing Blvd Bridgewater NJ 08807",US,3rd Floor,400 Crossing Blvd,,Bridgewater,NJ,08807,US,Special character ,Swapping the order of dataset  - City,"3rd Floor,400 Crossing Blvd Bridgewater NJ 08807"
87,710610713,"2nd Floor,34 Broad Street Red Bank NJ 07701",US,2nd Floor,34 Broad Street,,Red Bank,NJ,07701,US,Special character ,Swapping the order of dataset  - City,"2nd Floor,34 Broad Street Red Bank NJ 07701"
88,500004233,"3rd Floor,1 Park Way Upper Saddle River NJ 07458",US,3rd Floor,1 Park Way,,Upper Saddle River,NJ,07458,US,Special character ,Swapping the order of dataset  - City,"3rd Floor,1 Park Way Upper Saddle River NJ 07458"
89,710583432,"Suite 250,8337 West Sunset Road Las Vegas NV 89113",US,Suite 250,8337 West Sunset Road,,Las Vegas,NV,89113,US,Special character ,Swapping the order of dataset  - City,"Suite 250,8337 West Sunset Road Las Vegas NV 89113"
90,710590600,"Suite 300,8880 West Sunset Road Las Vegas NV 89148",US,Suite 300,8880 West Sunset Road,,Las Vegas,NV,89148,US,Special character ,Swapping the order of dataset  - City,"Suite 300,8880 West Sunset Road Las Vegas NV 89148"
91,710203282,"Suite 1801,1633 Broadway New York NY 10019",US,Suite 1801,1633 Broadway,,New York,NY,10019,US,Special character ,Swapping the order of dataset  - City,"Suite 1801,1633 Broadway New York NY 10019"
92,710541170,"Suite 250,660 White Plains Road Tarrytown NY 10591",US,Suite 250,660 White Plains Road,,Tarrytown,NY,10591,US,Special character ,Swapping the order of dataset  - City,"Suite 250,660 White Plains Road Tarrytown NY 10591"
93,400167521,"Suite 301,1 Manhattanville Road Purchase NY 10577",US,Suite 301,1 Manhattanville Road,,Purchase,NY,10577,US,Special character ,Swapping the order of dataset  - City,"Suite 301,1 Manhattanville Road Purchase NY 10577"
94,710444313,"33rd Floor,320 Park Avenue New York NY 10022",US,33rd Floor,320 Park Avenue,,New York,NY,10022,US,Special character ,Swapping the order of dataset  - City,"33rd Floor,320 Park Avenue New York NY 10022"
95,715975679,"22nd Floor,555 Madison Avenue New York NY 10022",US,22nd Floor,555 Madison Avenue,,New York,NY,10022,US,Special character ,Swapping the order of dataset  - City,"22nd Floor,555 Madison Avenue New York NY 10022"
96,715932184,"19th Floor,460 Park Avenue New York NY 10022",US,19th Floor,460 Park Avenue,,New York,NY,10022,US,Special character ,Swapping the order of dataset  - City,"19th Floor,460 Park Avenue New York NY 10022"
97,715937781,"25th Floor,450 Park Avenue New York NY 10022",US,25th Floor,450 Park Avenue,,New York,NY,10022,US,Special character ,Swapping the order of dataset  - City,"25th Floor,450 Park Avenue New York NY 10022"
98,710499544,"Suite 100,5084 Wooster Road Cincinnati OH 45226",US,Suite 100,5084 Wooster Road,,Cincinnati,OH,45226,US,Special character ,Swapping the order of dataset  - City,"Suite 100,5084 Wooster Road Cincinnati OH 45226"
99,710606464,"4th Floor,4900 Tiedeman Road Brooklyn OH 44144",US,4th Floor,4900 Tiedeman Road,,Brooklyn,OH,44144,US,Special character ,Swapping the order of dataset  - City,"4th Floor,4900 Tiedeman Road Brooklyn OH 44144"
100,400173857,"14th Floor,1 Riverside Plaza Columbus OH 43215",US,14th Floor,1 Riverside Plaza,,Columbus,OH,43215,US,Special character ,Swapping the order of dataset  - City,"14th Floor,1 Riverside Plaza Columbus OH 43215"
101,400170924,"Floor 20,605 3rd Avenue New York OH 10158",US,Floor 20,605 3rd Avenue,,New York,OH,10158,US,Special character ,Swapping the order of dataset  - City,"Floor 20,605 3rd Avenue New York OH 10158"
102,711989635,"6TH FLOOR,315 HIGH STREET HAMILTON OH 45011",US,6TH FLOOR,315 HIGH STREET,,HAMILTON,OH,45011,US,Special character ,Swapping the order of dataset  - City,"6TH FLOOR,315 HIGH STREET HAMILTON OH 45011"
103,711727942,"Suite 800,101 North Broadway Oklahoma City OK 73102",US,Suite 800,101 North Broadway,,Oklahoma City,OK,73102,US,Special character ,Swapping the order of dataset  - City,"Suite 800,101 North Broadway Oklahoma City OK 73102"
104,710489616,"Suite 220,550 East Swedesford Road Wayne PA 19087",US,Suite 220,550 East Swedesford Road,,Wayne,PA,19087,US,Special character ,Swapping the order of dataset  - City,"Suite 220,550 East Swedesford Road Wayne PA 19087"
105,400174993,"Suite 400,550 East Swedesford Road Wayne PA 19087",US,Suite 400,550 East Swedesford Road,,Wayne,PA,19087,US,Special character ,Swapping the order of dataset  - City,"Suite 400,550 East Swedesford Road Wayne PA 19087"
106,716383415,"54th Floor,1650 Market Street Philadelphia PA 19103",US,54th Floor,1650 Market Street,,Philadelphia,PA,19103,US,Special character ,Swapping the order of dataset  - City,"54th Floor,1650 Market Street Philadelphia PA 19103"
107,710577423,"12th Floor East Tower,1500 Market Street Philadelphia PA 19102",US,12th Floor East Tower,1500 Market Street,,Philadelphia,PA,19102,US,Special character ,Swapping the order of dataset  - City,"12th Floor East Tower,1500 Market Street Philadelphia PA 19102"
108,711272716,"14TH FLOOR,1429 WALNUT STREET PHILADELPHIA PA 17102",US,14TH FLOOR,1429 WALNUT STREET,,PHILADELPHIA,PA,17102,US,Special character ,Swapping the order of dataset  - City,"14TH FLOOR,1429 WALNUT STREET PHILADELPHIA PA 17102"
109,710584582,"6th Floor,1216 Arch Street Philadelphia PA 19107",US,6th Floor,1216 Arch Street,,Philadelphia,PA,19107,US,Special character ,Swapping the order of dataset  - City,"6th Floor,1216 Arch Street Philadelphia PA 19107"
110,710603469,"33rd Floor, Suite 3323,1818 Market Street Philadelphia PA 19103",US,"33rd Floor, Suite 3323",1818 Market Street,,Philadelphia,PA,19103,US,Special character ,Swapping the order of dataset  - City,"33rd Floor, Suite 3323,1818 Market Street Philadelphia PA 19103"
111,710009855,"8th Floor,1 Gateway Center Pittsburgh PA 15222",US,8th Floor,1 Gateway Center,,Pittsburgh,PA,15222,US,Special character ,Swapping the order of dataset  - City,"8th Floor,1 Gateway Center Pittsburgh PA 15222"
112,716400191,"Suite 102,620 Mabry Hood Road Knoxville TN 37932",US,Suite 102,620 Mabry Hood Road,,Knoxville,TN,37932,US,Special character ,Swapping the order of dataset  - City,"Suite 102,620 Mabry Hood Road Knoxville TN 37932"
113,710584216,"4th Floor,2919 Allen Parkway Houston TN 77019",US,4th Floor,2919 Allen Parkway,,Houston,TN,77019,US,Special character ,Swapping the order of dataset  - City,"4th Floor,2919 Allen Parkway Houston TN 77019"
114,710434063,"Suite 215,10200 Grogans Mill Road Spring TX 77380",US,Suite 215,10200 Grogans Mill Road,,Spring,TX,77380,US,Special character ,Swapping the order of dataset  - City,"Suite 215,10200 Grogans Mill Road Spring TX 77380"
115,710443609,"Suite 810,1616 South Voss Road Houston TX 77057",US,Suite 810,1616 South Voss Road,,Houston,TX,77057,US,Special character ,Swapping the order of dataset  - City,"Suite 810,1616 South Voss Road Houston TX 77057"
116,710438518,"Suite 360,8637 Fredericksburg Road San Antonio TX 78240",US,Suite 360,8637 Fredericksburg Road,,San Antonio,TX,78240,US,Special character ,Swapping the order of dataset  - City,"Suite 360,8637 Fredericksburg Road San Antonio TX 78240"
117,710583852,"Suite 725,8117 Preston Road Dallas TX 75225",US,Suite 725,8117 Preston Road,,Dallas,TX,75225,US,Special character ,Swapping the order of dataset  - City,"Suite 725,8117 Preston Road Dallas TX 75225"
